Index,Year,Level,Sport,First Place,First Place Hometown,Second Place,Second Place Hometown,Third Place,Third Place Hometown,Fourth Place,Fourth Place Hometown,Win Streak
238,1947,College,Baseball (M),California Golden Bears,"San Francisco Bay Area, CA",Yale Bulldogs,"New Haven, CT",New York University Violets,New York Metro Area,Texas Longhorns,"Austin, TX",1
246,1948,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Yale Bulldogs,"New Haven, CT",Lafayette Leopards,"Lehigh Valley, NJ-PA",Baylor Bears,"Waco, TX",1
254,1949,College,Baseball (M),Texas Longhorns,"Austin, TX",Wake Forest Demon Deacons,"Winston-Salem, NC",Wake Forest Demon Deacons,"Winston-Salem, NC",USC Trojans,"Greater Los Angeles, CA",1
262,1950,College,Baseball (M),Texas Longhorns,"Austin, TX",Washington State Cougars,"Pullman, WA",Rutgers Scarlet Knights,"New Brunswick, NJ",Wisconsin Badgers,"Madison, WI",2
270,1951,College,Baseball (M),Oklahoma Sooners,"Oklahoma City, OK",Tennessee Volunteers,"Knoxville, TN",USC Trojans,"Greater Los Angeles, CA",Utah Utes,"Salt Lake City, UT",1
278,1952,College,Baseball (M),Holy Cross Crusaders,"Worcester, MA",Missouri Tigers,"Columbia, MO",Penn State Nittany Lions,"State College, PA",Western Michigan Broncos,"Kalamazoo, MI",1
286,1953,College,Baseball (M),Michigan Wolverines,"Ann Arbor, MI",Texas Longhorns,"Austin, TX",Michigan Wolverines,"Ann Arbor, MI",Boston College Eagles,"Greater Boston, MA",1
294,1954,College,Baseball (M),Missouri Tigers,"Columbia, MO",Rollins Tars,"Greater Orlando, FL",Michigan State Spartans,"East Lansing, MI",Oklahoma State Cowboys,"Stillwater, OK",1
303,1955,College,Baseball (M),Wake Forest Demon Deacons,"Winston-Salem, NC",Western Michigan Broncos,"Kalamazoo, MI",Arizona Wildcats,"Tucson, AZ",Oklahoma State Cowboys,"Stillwater, OK",1
311,1956,College,Baseball (M),Minnesota Golden Gophers,"Twin Cities, MN",Arizona Wildcats,"Tucson, AZ",Bradley Braves,"Peoria, IL",Ole Miss Rebels,"Oxford, MS",1
319,1957,College,Baseball (M),California Golden Bears,"San Francisco Bay Area, CA",Penn State Nittany Lions,"State College, PA",Iowa State Cyclones,"Ames, IA",Notre Dame Fighting Irish,"Notre Dame, IN",1
328,1958,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Missouri Tigers,"Columbia, MO",Western Michigan Broncos,"Kalamazoo, MI",Holy Cross Crusaders,"Worcester, MA",1
337,1959,College,Baseball (M),Oklahoma State Cowboys,"Stillwater, OK",Arizona Wildcats,"Tucson, AZ",Penn State Nittany Lions,"State College, PA",Fresno State Bulldogs,"Fresno, CA",1
345,1960,College,Baseball (M),Minnesota Golden Gophers,"Twin Cities, MN",USC Trojans,"Greater Los Angeles, CA",Arizona Wildcats,"Tucson, AZ",Oklahoma State Cowboys,"Stillwater, OK",1
354,1961,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Oklahoma State Cowboys,"Stillwater, OK",Syracuse Orange,"Syracuse, NY",Boston College Eagles,"Greater Boston, MA",1
363,1962,College,Baseball (M),Michigan Wolverines,"Ann Arbor, MI",Santa Clara Broncos,"San Jose-Santa Clara, CA",Florida State Seminoles,"Tallahassee, FL",Texas Longhorns,"Austin, TX",1
371,1963,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona Wildcats,"Tucson, AZ",Texas Longhorns,"Austin, TX",Missouri Tigers,"Columbia, MO",1
379,1964,College,Baseball (M),Minnesota Golden Gophers,"Twin Cities, MN",Missouri Tigers,"Columbia, MO",Maine Black Bears,"Orono, ME",USC Trojans,"Greater Los Angeles, CA",1
389,1965,College,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Ohio State Buckeyes,"Columbus, OH",Saint Louis Billikens,"St. Louis, MO",Washington State Cougars,"Pullman, WA",1
398,1966,College,Baseball (M),Ohio State Buckeyes,"Columbus, OH",Oklahoma State Cowboys,"Stillwater, OK",USC Trojans,"Greater Los Angeles, CA",St. John's Red Storm,New York Metro Area,1
408,1967,College,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Houston Cougars,"Houston, TX",Stanford Cardinal,"San Francisco Bay Area, CA",Auburn Tigers,"Auburn, AL",1
416,1968,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Southern Illinois Salukis,"Carbondale, IL",North Carolina State Wolfpack,"Greater Raleigh, NC",St. John's Red Storm,New York Metro Area,1
424,1969,College,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Tulsa Golden Hurricane,"Tulsa, OK",New York University Violets,New York Metro Area,Texas Longhorns,"Austin, TX",1
432,1970,College,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Florida State Seminoles,"Tallahassee, FL",Texas Longhorns,"Austin, TX",Ohio Bobcats,"Athens, OH",1
